psmKey,cowKey,psmCalvDate,psmDate,comment
1,1,,4/06/91,
2,2,,4/06/91,
3,3,,4/06/91,
4,4,,4/06/91,
5,5,,4/06/91,
6,6,,4/06/91,
7,9,31/03/92,1/06/92,
8,10,19/04/91,1/06/91,
9,11,24/03/91,1/06/91,
10,12,28/02/91,1/06/91,
11,13,6/03/91,1/06/91,
12,14,20/03/91,1/06/91,
13,15,19/03/91,1/06/91,
14,16,14/03/92,1/06/92,
15,16,5/04/91,1/06/91,
16,17,22/04/91,1/06/91,
17,18,24/04/91,1/06/91,
18,19,24/04/91,1/06/91,
19,20,25/04/91,1/06/91,
20,21,20/04/92,1/06/92,
21,22,4/05/91,1/06/91,
22,23,30/05/91,1/06/91,
23,24,26/05/91,1/06/91,
24,25,11/01/91,1/06/91,
25,26,5/03/91,1/06/91,
26,27,2/03/91,1/06/91,
27,28,30/03/91,1/06/91,
28,29,9/03/92,1/06/92,
29,29,4/03/91,1/06/91,
30,30,28/03/91,1/06/91,
31,31,30/05/91,1/06/91,
32,32,21/03/91,1/06/91,
33,33,20/03/91,1/06/91,
34,34,17/03/91,1/06/91,
35,35,29/04/91,1/06/91,
36,36,1/05/91,1/06/91,
37,37,30/05/91,1/06/91,
38,38,8/04/91,1/06/91,
39,39,15/04/92,1/06/92,
40,40,8/05/91,1/06/91,
41,41,25/03/92,1/06/92,
42,43,30/09/91,22/11/91,
43,44,1/10/91,1/06/92,
44,45,30/05/91,1/06/91,
45,48,,1/06/92,
46,49,,1/06/93,
47,50,,1/06/93,
48,51,,1/06/92,
49,52,,1/06/93,
50,53,,1/06/93,
51,54,,1/06/93,
52,55,,1/06/93,
53,56,,1/06/93,
54,57,,1/06/93,
55,58,,1/06/93,
56,59,,1/06/93,
57,60,,1/06/93,
58,61,,1/06/93,
59,62,,1/06/93,
60,63,,1/06/93,
61,64,,1/06/93,
62,65,27/03/93,1/06/93,
63,65,30/04/92,1/06/92,
64,65,20/03/91,1/06/91,
65,66,23/03/92,1/06/92,
66,66,22/03/91,1/06/91,
67,67,18/04/93,1/06/93,
68,67,5/05/92,1/06/92,
69,67,9/03/91,1/06/91,
70,68,12/05/92,1/06/92,
71,68,21/03/91,1/06/91,
72,69,24/03/92,1/06/92,
73,69,20/03/91,1/06/91,
74,70,25/03/93,1/06/93,
75,70,17/03/92,1/06/92,
76,70,13/03/91,1/06/91,
77,71,7/04/93,1/06/93,
78,71,8/03/92,1/06/92,
79,71,10/03/91,1/06/91,
80,72,6/03/92,1/06/92,
81,72,5/03/91,1/06/91,
82,73,16/03/92,1/06/92,
83,73,28/04/91,1/06/91,
84,74,17/04/93,1/06/93,
85,74,18/03/92,1/06/92,
86,74,28/03/91,1/06/91,
87,75,11/03/92,1/06/92,
88,75,19/03/91,1/06/91,
89,76,4/03/92,1/06/92,
90,76,,4/06/91,
91,77,22/03/92,1/06/92,
92,77,9/04/91,1/06/91,
93,78,7/04/92,1/06/92,
94,78,30/04/91,1/06/91,
95,79,25/03/92,1/06/92,
96,79,11/03/91,1/06/91,
97,80,15/04/92,1/06/92,
98,80,25/03/91,1/06/91,
99,81,7/04/93,1/06/93,
100,81,17/03/92,1/06/92,
101,81,20/03/91,1/06/91,
102,82,24/03/92,1/06/92,
103,82,19/04/91,1/06/91,
104,83,7/04/93,1/06/93,
105,83,25/03/92,1/06/92,
106,83,20/03/91,1/06/91,
107,84,3/04/92,1/06/92,
108,84,30/03/91,1/06/91,
109,85,14/03/92,1/06/92,
110,85,9/03/91,1/06/91,
111,86,19/04/92,1/06/92,
112,86,20/03/91,1/06/91,
113,87,10/03/91,1/06/91,
114,88,8/05/92,1/06/92,
115,88,28/02/91,1/06/91,
116,89,10/04/93,1/06/93,
117,89,23/03/92,1/06/92,
118,89,18/04/91,1/06/91,
119,90,14/03/92,1/06/92,
120,90,,4/06/91,
121,91,22/03/92,1/06/92,
122,91,27/03/91,1/06/91,
123,92,2/05/92,1/06/92,
124,92,,4/06/91,
125,93,13/04/92,1/06/92,
126,93,11/03/91,1/06/91,
127,94,3/04/93,1/06/93,
128,94,25/04/92,1/06/92,
129,94,22/03/91,1/06/91,
130,95,19/03/92,1/06/92,
131,95,8/03/91,1/06/91,
132,96,7/04/93,1/06/93,
133,96,16/04/92,1/06/92,
134,96,10/04/91,1/06/91,
135,97,20/03/92,1/06/92,
136,97,15/03/91,1/06/91,
137,98,25/04/93,1/06/93,
138,98,16/03/92,1/06/92,
139,98,5/04/91,1/06/91,
140,99,28/02/92,1/06/92,
141,99,14/03/91,1/06/91,
142,100,9/03/92,1/06/92,
143,100,18/03/91,1/06/91,
144,101,17/03/93,1/06/93,
145,101,5/03/92,1/06/92,
146,101,4/03/91,1/06/91,
147,102,8/04/93,1/06/93,
148,102,22/04/92,1/06/92,
149,102,29/03/91,1/06/91,
150,103,3/05/93,1/06/93,
151,103,3/05/93,1/11/93,
152,103,3/03/92,1/06/92,
153,103,1/05/91,1/06/91,
154,104,22/04/93,1/06/93,
155,104,11/05/92,1/06/92,
156,104,1/04/91,1/06/91,
157,105,3/05/93,1/06/93,
158,105,3/05/93,1/11/93,
159,105,3/05/92,1/06/92,
160,105,8/04/91,1/06/91,
161,106,15/03/93,1/06/93,
162,106,11/03/92,1/06/92,
163,106,5/03/91,1/06/91,
164,107,17/04/93,1/06/93,
165,107,13/05/92,1/06/92,
166,107,20/04/91,1/06/91,
167,108,9/05/93,1/06/93,
168,108,9/05/93,1/11/93,
169,108,29/04/92,1/06/92,
170,108,19/04/91,1/06/91,
171,109,18/05/93,1/06/93,
172,109,5/05/92,1/06/92,
173,109,12/04/91,1/06/91,
174,110,2/04/93,1/06/93,
175,110,2/04/93,1/11/93,
176,110,29/09/91,1/06/92,
178,111,15/03/93,1/06/93,
179,111,2/04/92,1/06/92,
180,111,7/03/91,1/06/91,
181,112,13/03/93,1/06/93,
182,112,13/03/93,1/11/93,
183,112,24/03/92,1/06/92,
184,112,,4/06/91,
185,113,22/03/93,1/06/93,
186,113,24/03/92,1/06/92,
187,113,26/03/91,1/06/91,
189,114,28/03/93,1/06/93,
190,114,23/03/92,1/06/92,
191,114,19/04/91,1/06/91,
192,115,6/03/93,1/06/93,
193,115,6/03/93,1/11/93,
194,115,17/03/92,1/06/92,
195,115,28/03/91,1/06/91,
196,116,8/05/93,1/06/93,
197,116,8/05/93,1/11/93,
198,116,16/03/92,1/06/92,
199,116,21/03/91,1/06/91,
200,117,20/03/93,1/06/93,
201,117,20/03/93,1/11/93,
202,117,7/03/92,1/06/92,
203,117,,4/06/91,
204,118,3/04/93,1/06/93,
205,118,10/04/92,1/06/92,
206,118,,4/06/91,
207,119,28/03/93,1/06/93,
208,119,28/03/93,1/11/93,
209,119,6/04/92,1/06/92,
210,119,7/04/91,1/06/91,
211,120,9/05/93,1/06/93,
212,120,26/04/92,1/06/92,
213,120,20/03/91,1/06/91,
214,121,7/04/93,1/06/93,
215,121,25/03/92,1/06/92,
216,121,21/04/91,1/06/91,
217,122,9/04/93,1/06/93,
218,122,21/04/92,1/06/92,
219,122,9/03/91,1/06/91,
220,123,6/03/93,1/06/93,
221,123,6/03/93,1/11/93,
222,123,4/03/92,1/06/92,
223,123,1/03/91,1/06/91,
224,124,15/04/93,1/06/93,
225,124,15/04/93,1/11/93,
226,124,30/04/92,1/06/92,
227,124,13/03/91,1/06/91,
228,125,15/04/93,1/06/93,
229,125,3/03/92,1/06/92,
230,125,,4/06/91,
231,126,13/03/93,1/06/93,
232,126,9/03/92,1/06/92,
233,126,,4/06/91,
234,127,22/03/93,1/06/93,
235,127,22/03/93,1/11/93,
236,127,31/03/92,1/06/92,
237,127,20/03/91,1/06/91,
238,128,14/03/93,1/06/93,
239,128,9/04/92,1/06/92,
240,128,21/03/91,1/06/91,
241,129,17/03/93,1/06/93,
242,129,17/03/93,1/11/93,
243,129,4/10/91,1/06/92,
244,129,,4/06/91,
245,130,27/03/93,1/06/93,
246,130,27/03/93,1/11/93,
247,130,,1/06/92,
248,131,1/04/93,1/06/93,
249,131,1/04/93,1/11/93,
250,131,,1/06/92,
251,132,25/03/93,1/06/93,
252,132,25/03/93,1/11/93,
253,132,5/04/92,1/06/92,
254,132,21/03/91,1/06/91,
255,133,6/03/93,1/06/93,
256,133,6/03/93,1/11/93,
257,133,,1/06/92,
258,134,9/03/93,1/06/93,
259,134,3/03/92,1/06/92,
260,134,14/03/91,1/06/91,
261,135,6/05/93,1/06/93,
262,135,30/03/92,1/06/92,
263,135,9/03/91,1/06/91,
264,136,1/05/93,1/06/93,
265,136,11/03/92,1/06/92,
266,136,18/04/91,1/06/91,
267,137,28/04/93,1/06/93,
268,137,17/03/92,1/06/92,
269,137,20/03/91,1/06/91,
270,138,6/03/93,1/06/93,
271,138,6/03/93,1/11/93,
272,138,,1/06/92,
273,139,27/03/93,1/06/93,
274,139,28/03/92,1/06/92,
275,139,19/03/91,1/06/91,
276,140,5/04/93,1/06/93,
277,140,25/04/92,1/06/92,
278,140,25/04/91,1/06/91,
279,141,20/04/93,1/06/93,
280,141,20/04/93,1/11/93,
281,141,24/03/92,1/06/92,
282,141,1/05/91,1/06/91,
283,142,13/03/93,1/06/93,
284,142,13/03/93,1/11/93,
285,142,1/04/92,1/06/92,
286,143,20/03/93,1/06/93,
287,143,6/04/92,1/06/92,
288,143,19/04/91,1/06/91,
289,144,28/02/93,1/06/93,
290,144,28/02/93,1/11/93,
291,144,22/03/92,1/06/92,
292,144,,4/06/91,
293,145,28/03/93,1/06/93,
294,145,7/03/92,1/06/92,
295,145,3/03/91,1/06/91,
296,146,12/03/93,1/06/93,
297,146,12/03/93,1/11/93,
298,146,10/04/92,1/06/92,
299,146,1/03/91,1/06/91,
300,147,14/05/93,1/06/93,
301,147,14/05/93,1/11/93,
302,147,5/03/92,1/06/92,
303,147,,4/06/91,
304,148,5/04/93,1/06/93,
305,148,,1/06/92,
306,149,12/04/93,1/06/93,
307,149,12/04/93,1/11/93,
308,149,7/04/92,1/06/92,
309,149,18/04/91,1/06/91,
310,150,5/05/93,1/06/93,
311,150,5/05/93,1/11/93,
312,150,19/04/92,1/06/92,
313,150,5/03/91,1/06/91,
314,151,17/03/93,1/06/93,
315,151,17/03/93,1/11/93,
316,151,26/03/92,1/06/92,
317,151,29/03/91,1/06/91,
318,152,11/03/93,1/06/93,
319,152,11/03/93,1/11/93,
320,152,3/03/92,1/06/92,
321,152,,4/06/91,
322,153,,1/06/93,
323,154,23/03/93,1/06/93,
324,154,23/03/93,1/11/93,
325,154,19/03/92,1/06/92,
326,154,4/03/91,1/06/91,
327,155,2/04/93,1/06/93,
328,155,2/04/93,1/11/93,
329,155,2/04/92,1/06/92,
330,155,22/03/91,1/06/91,
331,156,18/04/93,1/06/93,
332,156,18/04/93,1/11/93,
333,156,14/03/92,1/06/92,
334,156,15/03/91,1/06/91,
335,157,27/03/93,1/06/93,
336,157,27/03/93,1/11/93,
337,157,,1/06/92,
338,158,9/04/93,1/06/93,
339,158,3/04/92,1/06/92,
340,158,30/04/91,1/06/91,
341,159,24/03/93,1/06/93,
342,159,24/03/93,1/11/93,
343,159,,1/06/92,
344,160,30/03/93,1/06/93,
345,160,30/03/92,1/06/92,
346,160,,1/06/91,
347,161,11/04/93,1/06/93,
348,161,11/04/93,1/11/93,
349,161,14/03/92,1/06/92,
350,161,22/03/91,1/06/91,
351,162,,1/06/93,
352,163,29/03/93,1/06/93,
353,163,,1/06/92,
354,164,11/03/93,1/06/93,
355,164,11/03/93,1/11/93,
356,164,13/03/92,1/06/92,
357,164,,4/06/91,
358,165,7/03/92,1/06/92,
359,165,10/03/91,1/06/91,
362,167,27/03/93,1/06/93,
363,167,15/03/92,1/06/92,
364,167,15/03/91,1/06/91,
368,168,,1/06/93,
370,169,22/03/93,1/06/93,
371,169,4/03/92,1/06/92,
372,169,,4/06/91,
375,170,,1/06/93,
379,171,13/03/93,1/06/93,
380,171,,1/06/92,
382,172,12/03/93,1/06/93,
383,172,,1/06/92,
385,173,1/05/93,1/06/93,
386,173,30/03/92,1/06/92,
387,173,,4/06/91,
391,174,,1/06/93,
394,175,6/04/93,1/06/93,
395,175,,1/06/92,
397,176,19/03/93,1/06/93,
398,176,10/04/92,1/06/92,
399,176,19/03/91,1/06/91,
401,177,18/05/93,1/06/93,
402,177,26/03/92,1/06/92,
403,177,15/03/91,1/06/91,
406,178,23/03/93,1/06/93,
407,178,11/03/92,1/06/92,
408,178,15/03/91,1/06/91,
410,179,27/03/93,1/06/93,
411,179,,1/06/92,
414,180,4/04/93,1/06/93,
415,180,,1/06/92,
418,181,,1/06/93,
421,182,,1/06/93,
423,183,10/03/93,1/06/93,
424,183,22/03/92,1/06/92,
425,183,,1/06/91,
427,184,8/05/93,1/06/93,
428,184,12/03/92,1/06/92,
429,184,17/03/91,1/06/91,
431,185,14/03/93,1/06/93,
432,185,16/03/92,1/06/92,
433,185,20/03/91,1/06/91,
436,186,3/04/93,1/06/93,
437,186,9/03/92,1/06/92,
438,186,20/03/91,1/06/91,
441,187,17/04/93,1/06/93,
442,187,9/03/92,1/06/92,
443,187,24/03/91,1/06/91,
447,188,17/04/93,1/06/93,
448,188,22/03/92,1/06/92,
450,189,21/03/93,1/06/93,
451,189,24/03/92,1/06/92,
452,189,21/04/91,1/06/91,
453,190,26/03/93,1/06/93,
454,190,8/03/92,1/06/92,
455,190,4/03/91,1/06/91,
459,191,16/03/93,1/06/93,
460,191,30/03/92,1/06/92,
461,191,,4/06/91,
464,192,25/03/93,1/06/93,
465,192,,1/06/92,
468,193,,1/06/93,
471,194,,1/06/93,
474,195,5/04/93,1/06/93,
475,195,19/03/92,1/06/92,
478,196,11/03/93,1/06/93,
479,196,,1/06/92,
482,197,20/03/93,1/06/93,
483,197,24/04/92,1/06/92,
485,198,,1/06/93,
488,199,10/03/93,1/06/93,
489,199,11/03/92,1/06/92,
490,199,,4/06/91,
493,200,17/03/93,1/06/93,
494,200,2/05/92,1/06/92,
495,200,,4/06/91,
498,201,18/03/93,1/06/93,
499,201,26/09/91,1/06/92,
502,202,,1/06/93,
505,203,,1/06/93,
508,204,18/03/93,1/06/93,
