CalvKey,CowKey,calvDate,calvType,assist,estimated,comment,VF,ObservedFM,AbortionCause,CalvingEase
1,193,20/08/1997,NORMAL,,0,,,,,
2,194,9/08/1997,NORMAL,,0,,,,,
3,195,4/09/1996,NORMAL,,0,,,,,
4,196,13/08/1997,NORMAL,,0,,,,,
5,197,13/08/1996,NORMAL,,0,,,,,
6,199,23/08/1997,NORMAL,,0,,,,,
7,200,21/08/1995,NORMAL,,0,,,,,
8,201,24/09/1996,NORMAL,,0,,,,,
9,202,23/09/1997,NORMAL,,0,,,,,
10,203,14/08/1997,NORMAL,,0,,,,,
11,204,9/08/1997,NORMAL,,0,,,,,
12,205,11/08/1997,NORMAL,,0,,,,,
13,206,6/09/1996,NORMAL,,0,,,,,
14,207,31/08/1997,NORMAL,,0,,,,,
15,208,4/08/1997,INDUCE,,0,,,,,
16,209,7/08/1997,NORMAL,,0,,,,,
17,210,6/08/1997,NORMAL,,0,,,,,
18,211,3/08/1997,NORMAL,,0,,,,,
19,212,5/08/1997,NORMAL,,0,,,,,
20,213,26/09/1997,INDUCE,,0,,,,,
21,214,4/08/1997,INDUCE,,0,,,,,
22,215,6/09/1997,NORMAL,,0,,,,,
23,216,11/08/1997,NORMAL,,0,,,,,
24,217,10/08/1997,NORMAL,,0,,,,,
25,218,4/08/1997,INDUCE,,0,,,,,
26,219,28/08/1996,NORMAL,,0,,,,,
27,220,2/08/1997,NORMAL,,0,,,,,
28,221,3/08/1997,NORMAL,,0,,,,,
29,222,21/08/1995,NORMAL,,0,,,,,
30,223,12/09/1997,INDUCE,,0,,,,,
31,224,24/08/1997,NORMAL,,0,,,,,
32,225,5/08/1997,NORMAL,,0,,,,,
33,226,13/09/1996,INDUCE,,0,,,,,
34,227,4/08/1997,NORMAL,,0,,,,,
35,228,31/08/1997,NORMAL,,0,,,,,
36,229,11/08/1996,PREM,,0,,,,,
37,230,26/08/1995,NORMAL,,0,,,,,
38,231,27/08/1997,NORMAL,,0,,,,,
39,232,17/08/1996,NORMAL,MINOR,0,,,,,
40,233,11/09/1997,NORMAL,,0,,,,,
41,234,10/09/1997,INDUCE,,0,,,,,
42,235,19/10/1995,NORMAL,,0,,,,,
43,236,6/08/1997,NORMAL,,0,,,,,
44,237,8/08/1997,NORMAL,,0,,,,,
45,238,9/08/1997,NORMAL,,0,,,,,
46,239,12/09/1996,NORMAL,,0,,,,,
47,240,3/08/1997,NORMAL,,0,,,,,
48,241,4/09/1997,NORMAL,,0,,,,,
49,242,4/09/1996,INDUCE,,0,,,,,
50,243,30/08/1997,NORMAL,,0,,,,,
51,244,11/08/1997,NORMAL,,0,,,,,
52,245,22/08/1996,NORMAL,,0,,,,,
53,246,22/08/1997,NORMAL,,0,,,,,
54,247,18/08/1996,NORMAL,,0,,,,,
55,248,31/07/1997,NORMAL,,0,,,,,
56,249,15/08/1997,NORMAL,,0,,,,,
57,250,20/09/1997,INDUCE,,0,,,,,
58,251,21/09/1997,INDUCE,,0,,,,,
59,252,20/08/1997,NORMAL,,0,,,,,
60,253,26/08/1997,NORMAL,,0,,,,,
61,254,2/08/1997,INDUCE,,0,,,,,
62,255,12/08/1997,NORMAL,,0,,,,,
63,256,8/08/1997,NORMAL,,0,,,,,
64,257,30/09/1995,INDUCE,,0,,,,,
65,258,14/08/1997,NORMAL,,0,,,,,
66,259,4/09/1996,INDUCE,,0,,,,,
67,260,10/09/1997,NORMAL,,0,,,,,
68,261,28/08/1997,NORMAL,,0,,,,,
69,262,5/08/1997,INDUCE,,0,,,,,
70,263,9/08/1997,NORMAL,,0,,,,,
71,264,30/08/1997,NORMAL,,0,,,,,
72,265,24/08/1997,NORMAL,,0,,,,,
73,266,8/08/1997,NORMAL,,0,,,,,
74,267,18/08/1997,NORMAL,,0,,,,,
75,268,10/08/1997,NORMAL,,0,,,,,
76,269,18/08/1997,NORMAL,,0,,,,,
77,270,24/08/1997,NORMAL,,0,,,,,
78,271,28/08/1996,NORMAL,MINOR,0,,,,,
79,272,22/08/1996,NORMAL,,0,,,,,
80,273,3/08/1997,NORMAL,,0,,,,,
81,274,31/08/1995,NORMAL,,0,,,,,
82,275,6/09/1997,NORMAL,,0,,,,,
83,276,11/08/1997,NORMAL,,0,,,,,
84,277,8/08/1997,NORMAL,,0,,,,,
85,278,11/08/1997,NORMAL,,0,,,,,
86,279,11/08/1997,NORMAL,,0,,,,,
87,280,12/09/1997,NORMAL,,0,,,,,
88,281,4/09/1996,INDUCE,,0,,,,,
89,282,12/09/1997,NORMAL,,0,,,,,
90,283,31/08/1997,NORMAL,,0,,,,,
91,284,7/08/1997,NORMAL,,0,,,,,
92,285,6/08/1997,NORMAL,,0,,,,,
93,286,10/08/1997,NORMAL,,0,,,,,
94,287,29/08/1997,NORMAL,,0,,,,,
95,288,10/09/1997,INDUCE,,0,,,,,
96,289,26/08/1997,NORMAL,,0,,,,,
97,290,16/08/1997,NORMAL,,0,,,,,
98,291,10/08/1997,NORMAL,,0,,,,,
99,292,5/08/1996,PREM,,0,,,,,
100,293,28/08/1997,NORMAL,,0,,,,,
101,294,11/08/1997,NORMAL,,0,,,,,
102,295,4/09/1997,NORMAL,,0,,,,,
103,296,20/08/1997,NORMAL,,0,,,,,
104,297,14/08/1997,NORMAL,,0,,,,,
105,298,3/08/1997,NORMAL,,0,,,,,
106,299,3/08/1997,NORMAL,,0,,,,,
107,300,2/08/1997,INDUCE,,0,,,,,
108,301,10/09/1997,INDUCE,,0,,,,,
109,302,12/08/1997,NORMAL,,0,,,,,
110,303,17/08/1997,NORMAL,,0,,,,,
111,304,16/08/1997,NORMAL,,0,,,,,
112,305,10/09/1997,INDUCE,,0,,,,,
113,306,5/08/1997,NORMAL,,0,,,,,
114,307,12/08/1997,NORMAL,,0,,,,,
115,308,9/08/1997,NORMAL,,0,,,,,
116,309,27/08/1997,NORMAL,,0,,,,,
117,310,5/09/1996,NORMAL,,0,,,,,
118,311,23/08/1997,NORMAL,,0,,,,,
119,312,12/08/1997,NORMAL,,0,,,,,
120,313,1/09/1997,NORMAL,,0,,,,,
121,314,17/08/1997,NORMAL,,0,,,,,
122,315,25/08/1997,NORMAL,,0,,,,,
123,316,13/08/1996,NORMAL,,0,,,,,
124,317,5/09/1997,NORMAL,,0,,,,,
125,318,12/08/1997,NORMAL,,0,,,,,
126,319,24/07/1997,PREM,,0,,,,,
127,320,30/08/1997,NORMAL,,0,,,,,
128,321,7/09/1996,NORMAL,MINOR,0,,,,,
129,322,31/08/1997,NORMAL,,0,,,,,
130,323,7/08/1997,NORMAL,,0,,,,,
131,324,5/07/1997,ABORT,,0,,,,,
132,325,7/09/1997,NORMAL,,0,,,,,
133,326,9/08/1997,NORMAL,,0,,,,,
134,327,25/08/1996,NORMAL,,0,,,,,
135,328,5/09/1997,NORMAL,,0,,,,,
136,329,17/08/1997,NORMAL,,0,,,,,
137,330,27/08/1997,NORMAL,,0,,,,,
138,331,12/08/1997,NORMAL,,0,,,,,
139,332,4/08/1997,NORMAL,,0,,,,,
140,333,10/08/1997,NORMAL,,0,,,,,
141,334,8/07/1997,ABORT,,0,,,,,
142,335,12/08/1997,NORMAL,,0,,,,,
143,336,7/09/1997,INDUCE,,0,,,,,
144,337,10/09/1997,NORMAL,,0,,,,,
145,338,5/08/1997,NORMAL,,0,,,,,
146,339,5/08/1997,NORMAL,,0,,,,,
147,340,11/08/1997,NORMAL,,0,,,,,
148,341,6/09/1997,INDUCE,,0,,,,,
149,342,17/08/1997,NORMAL,,0,,,,,
150,343,27/09/1995,NORMAL,,0,,,,,
151,344,25/09/1997,NORMAL,,0,,,,,
152,345,3/08/1997,NORMAL,,0,,,,,
153,346,4/10/1995,INDUCE,,0,,,,,
154,347,9/08/1997,NORMAL,,0,,,,,
155,348,8/09/1996,INDUCE,,0,,,,,
156,349,24/08/1997,NORMAL,,0,,,,,
157,350,3/08/1997,INDUCE,,0,,,,,
158,351,10/08/1997,NORMAL,,0,,,,,
159,352,29/09/1997,NORMAL,,0,,,,,
160,353,17/08/1996,NORMAL,MINOR,0,,,,,
161,354,11/08/1997,NORMAL,,0,,,,,
162,355,6/09/1997,NORMAL,,0,,,,,
163,356,1/08/1997,NORMAL,,0,,,,,
164,357,6/08/1997,NORMAL,,0,,,,,
165,358,29/06/1997,ABORT,,0,,,,,
166,359,21/09/1997,INDUCE,,0,,,,,
167,360,4/08/1997,INDUCE,,0,,,,,
168,361,11/09/1995,NORMAL,,0,,,,,
169,362,17/09/1997,NORMAL,,0,,,,,
170,363,29/07/1997,INDUCE,,0,,,,,
171,364,2/09/1997,NORMAL,,0,,,,,
172,365,3/09/1997,NORMAL,,0,,,,,
173,366,21/09/1996,NORMAL,,0,,,,,
174,367,30/08/1997,NORMAL,,0,,,,,
175,368,25/08/1997,NORMAL,,0,,,,,
176,369,9/08/1996,PREM,,0,,,,,
177,370,3/09/1996,NORMAL,,0,,,,,
178,371,4/10/1997,NORMAL,,0,,,,,
179,372,10/08/1997,NORMAL,,0,,,,,
180,373,4/08/1997,NORMAL,,0,,,,,
181,374,13/08/1997,NORMAL,,0,,,,,
182,375,28/07/1997,NORMAL,,0,,,,,
183,376,31/08/1995,NORMAL,,0,,,,,
184,377,6/08/1997,NORMAL,,0,,,,,
185,378,4/09/1997,NORMAL,,0,,,,,
186,379,28/08/1997,NORMAL,,0,,,,,
187,380,18/08/1996,NORMAL,,0,,,,,
188,382,10/08/1997,NORMAL,,0,,,,,
189,383,17/09/1997,INDUCE,,0,,,,,
190,384,8/08/1997,NORMAL,,0,,,,,
191,385,6/08/1996,PREM,,0,,,,,
192,386,27/09/1997,NORMAL,,0,,,,,
193,387,3/08/1997,NORMAL,,0,,,,,
194,388,20/08/1997,NORMAL,,0,,,,,
195,389,7/09/1997,INDUCE,,0,,,,,
196,390,8/08/1997,NORMAL,,0,,,,,
197,391,11/08/1997,NORMAL,,0,,,,,
198,392,2/09/1997,INDUCE,,0,,,,,
199,393,10/09/1996,NORMAL,,0,,,,,
200,394,8/08/1997,NORMAL,,0,,,,,
201,395,12/08/1997,NORMAL,,0,,,,,
202,396,16/08/1997,NORMAL,,0,,,,,
203,397,18/08/1996,NORMAL,,0,,,,,
204,398,29/07/1997,NORMAL,,0,,,,,
205,399,24/08/1997,NORMAL,,0,,,,,
206,400,7/08/1997,NORMAL,,0,,,,,
207,401,2/09/1997,NORMAL,,0,,,,,
208,402,29/08/1997,NORMAL,,0,,,,,
209,403,23/08/1997,NORMAL,,0,,,,,
210,404,3/09/1997,NORMAL,,0,,,,,
211,405,18/08/1995,NORMAL,,0,,,,,
212,406,8/09/1997,INDUCE,,0,,,,,
213,407,9/09/1997,INDUCE,,0,,,,,
214,408,14/09/1996,INDUCE,,0,,,,,
215,409,11/08/1997,INDUCE,,0,,,,,
216,410,10/08/1997,INDUCE,,0,,,,,
217,411,27/08/1997,NORMAL,,0,,,,,
218,412,8/08/1996,PREM,,0,,,,,
219,413,26/08/1997,NORMAL,,0,,,,,
220,414,12/08/1997,NORMAL,,0,,,,,
221,415,13/09/1997,NORMAL,,0,,,,,
222,416,4/09/1997,NORMAL,,0,,,,,
223,417,3/08/1997,INDUCE,,0,,,,,
224,418,9/08/1997,NORMAL,,0,,,,,
225,419,17/09/1997,NORMAL,,0,,,,,
226,420,23/08/1996,NORMAL,,0,,,,,
227,421,10/09/1996,NORMAL,,0,,,,,
228,422,26/07/1997,NORMAL,,0,,,,,
229,423,1/09/1997,NORMAL,,0,,,,,
230,424,12/09/1997,NORMAL,,0,,,,,
231,425,8/08/1997,NORMAL,,0,,,,,
232,426,6/08/1997,NORMAL,,0,,,,,
233,427,4/08/1997,NORMAL,,0,,,,,
234,428,21/08/1997,NORMAL,,0,,,,,
235,429,12/08/1997,NORMAL,,0,,,,,
236,430,13/09/1996,NORMAL,,0,,,,,
237,431,1/09/1997,NORMAL,,0,,,,,
238,432,16/08/1997,NORMAL,,0,,,,,
239,433,27/08/1997,NORMAL,,0,,,,,
240,434,16/09/1997,INDUCE,,0,,,,,
241,435,3/08/1997,NORMAL,,0,,,,,
242,436,9/08/1997,NORMAL,,0,,,,,
243,438,27/08/1997,NORMAL,,0,,,,,
244,439,6/08/1997,NORMAL,,0,,,,,
245,440,7/08/1997,NORMAL,,0,,,,,
246,441,27/08/1997,NORMAL,,0,,,,,
247,442,2/10/1995,NORMAL,,0,,,,,
248,443,18/08/1997,NORMAL,,0,,,,,
249,444,22/09/1997,NORMAL,,0,,,,,
250,445,15/08/1997,NORMAL,,0,,,,,
251,446,16/08/1997,NORMAL,,0,,,,,
252,447,19/08/1996,NORMAL,,0,,,,,
253,448,11/09/1996,INDUCE,,0,,,,,
254,449,12/08/1997,NORMAL,,0,,,,,
255,450,27/08/1997,NORMAL,,0,,,,,
256,451,3/08/1997,NORMAL,,0,,,,,
257,452,3/08/1997,INDUCE,,0,,,,,
258,453,30/06/1997,ABORT,,0,,,,,
259,454,10/09/1996,NORMAL,,0,,,,,
260,455,5/09/1997,NORMAL,,0,,,,,
261,456,10/08/1997,NORMAL,,0,,,,,
262,457,9/08/1997,NORMAL,,0,,,,,
263,458,8/09/1997,INDUCE,,0,,,,,
264,459,10/08/1997,NORMAL,,0,,,,,
265,460,14/09/1997,INDUCE,,0,,,,,
266,461,8/08/1997,NORMAL,,0,,,,,
267,462,4/10/1995,INDUCE,,0,,,,,
268,463,19/08/1997,NORMAL,,0,,,,,
269,464,20/09/1997,INDUCE,,0,,,,,
270,465,29/07/1997,NORMAL,,0,,,,,
271,466,25/08/1997,NORMAL,,0,,,,,
272,467,28/08/1995,NORMAL,,0,,,,,
273,468,18/08/1997,NORMAL,,0,,,,,
274,469,17/08/1997,NORMAL,,0,,,,,
275,470,5/08/1997,NORMAL,,0,,,,,
276,471,10/08/1997,NORMAL,,0,,,,,
277,472,26/08/1997,NORMAL,,0,,,,,
278,473,2/09/1997,NORMAL,,0,,,,,
279,474,27/08/1996,NORMAL,MINOR,0,,,,,
280,475,3/08/1997,NORMAL,,0,,,,,
281,476,15/08/1996,PREM,,0,,,,,
282,477,2/08/1997,NORMAL,,0,,,,,
283,478,13/08/1996,NORMAL,,0,,,,,
284,479,27/08/1997,NORMAL,,0,,,,,
285,480,29/08/1997,NORMAL,,0,,,,,
286,481,31/07/1997,NORMAL,,0,,,,,
287,482,17/09/1996,NORMAL,,0,,,,,
288,483,10/08/1997,NORMAL,,0,,,,,
289,484,27/08/1996,NORMAL,,0,,,,,
290,485,1/10/1997,NORMAL,,0,,,,,
291,486,11/09/1997,INDUCE,,0,,,,,
292,487,12/08/1997,NORMAL,,0,,,,,
293,488,15/08/1997,NORMAL,,0,,,,,
294,489,18/09/1996,INDUCE,,0,,,,,
295,490,5/08/1997,NORMAL,,0,,,,,
296,491,7/09/1997,NORMAL,,0,,,,,
297,492,24/08/1997,NORMAL,,0,,,,,
298,493,29/08/1996,NORMAL,,0,,,,,
299,494,6/08/1997,NORMAL,,0,,,,,
300,495,23/09/1997,NORMAL,,0,,,,,
301,496,10/09/1997,INDUCE,,0,,,,,
302,497,18/08/1997,NORMAL,,0,,,,,
303,498,9/09/1996,NORMAL,,0,,,,,
304,499,27/08/1997,NORMAL,,0,,,,,
305,500,11/08/1997,NORMAL,,0,,,,,
306,501,9/09/1997,NORMAL,,0,,,,,
307,502,28/08/1996,NORMAL,MINOR,0,,,,,
308,503,7/08/1997,NORMAL,,0,,,,,
309,504,2/09/1997,NORMAL,,0,,,,,
310,505,27/08/1996,NORMAL,MINOR,0,,,,,
311,506,27/08/1997,NORMAL,,0,,,,,
312,507,6/08/1997,NORMAL,,0,,,,,
313,508,22/07/1997,PREM,,0,,,,,
314,509,5/09/1997,NORMAL,,0,,,,,
315,511,6/08/1997,NORMAL,,0,,,,,
316,512,12/08/1997,INDUCE,,0,,,,,
317,513,17/08/1997,NORMAL,,0,,,,,
318,514,21/09/1997,INDUCE,,0,,,,,
319,515,30/09/1997,INDUCE,,0,,,,,
320,516,13/09/1996,NORMAL,,0,,,,,
321,517,23/09/1997,NORMAL,,0,,,,,
322,518,28/08/1997,NORMAL,,0,,,,,
323,519,8/08/1997,NORMAL,,0,,,,,
324,520,16/09/1995,NORMAL,,0,,,,,
325,521,5/08/1997,NORMAL,,0,,,,,
326,522,12/08/1997,NORMAL,,0,,,,,
327,523,30/07/1997,NORMAL,,0,,,,,
328,524,2/10/1997,INDUCE,,0,,,,,
329,525,2/08/1997,NORMAL,,0,,,,,
330,526,3/08/1997,NORMAL,,0,,,,,
331,527,6/08/1997,NORMAL,,0,,,,,
